datetime,open,high,low,close,volume,peRatio,psRatio,pbRatio,SMA_20,SMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,ADX_14,DMP_14,DMN_14,OBV,STOCHk_14_3_3,STOCHd_14_3_3,price_change_1d,price_change_3d,price_change_5d,price_change_10d,price_change_21d,volatility_21d,target,ticker
2021-09-13,150.63,151.42,148.75,149.55,102404300,,,,,,,,,,,,,,,,,,,102404300.0,,,,,,,,,0,AAPL
2021-09-14,150.35001,151.070007,146.91,148.12,109296300,,,,,,,,,,,,,,,,,,,-6892000.0,,,-0.009562019391507914,,,,,,0,AAPL
2021-09-15,148.56,149.44,146.37,149.029999,83281300,,,,,,,,,,,,,,,,,,,76389300.0,,,0.0061436605455036375,,,,,,0,AAPL
2021-09-16,148.44,148.97,147.22,148.78999,68034100,,,,,,,,,,,,,,,,,,,8355200.0,,,-0.0016104744119337377,-0.0050819792711469525,,,,,0,AAPL
2021-09-17,148.82001,148.82001,145.75999,146.059998,129868800,,,,,,,,,,,,,,,,,,,-121513600.0,,,-0.018347954724642346,-0.013907655954631393,,,,,1,AAPL
2021-09-20,143.8,144.84,141.27,142.94,123478900,,,,,,,,,,,,,,,,,,,-244992500.0,,,-0.021361071085322147,-0.040864249083166215,-0.04419926446004685,,,,1,AAPL
2021-09-21,143.92999,144.60001,142.78,143.42999,75834000,,,,,,,,,,,,,,,,,,,-169158500.0,,,0.0034279417937597145,-0.03602392876026128,-0.031663583580880394,,,,0,AAPL
2021-09-22,144.45,146.42999,143.7,145.85001,76404300,,,,,,,,,,,,,,,,,,,-92754200.0,,,0.016872482526143928,-0.0014376831635997123,-0.021337911973011603,,,,0,AAPL
2021-09-23,146.64999,147.080002,145.64,146.83,64838200,,,,,,,,,,,,,,,,,,,-27916000.0,,,0.006719163063478861,0.02721421575486227,-0.013172861964705906,,,,0,AAPL
2021-09-24,145.66,147.47,145.56,146.92,53477900,,,,,,,,,,,,,,,,,,,25561900.0,,,0.0006129537560441989,0.024332498384751933,0.005888005010105335,,,,0,AAPL
2021-09-27,145.47,145.96001,143.82001,145.37,74150700,,,,,,,,,,,,,,,,,,,-48588800.0,,,-0.010549959161448297,-0.0032911207890901073,0.01700013991884708,-0.027950518221330656,,,0,AAPL
2021-09-28,143.25,144.75,141.69,141.91,108972300,,,,,,,,,,,,,,,,,,,-157561100.0,,,-0.023801334525693107,-0.0335081386637609,-0.010597435027360769,-0.041925465838509424,,,0,AAPL
2021-09-29,142.47,144.45,142.029999,142.83,74602000,,,,,,,,,,,,,,,,,,,-82959100.0,,,0.006482982171799101,-0.027838279335692717,-0.02070627214903853,-0.04160235550964464,,,0,AAPL
2021-09-30,143.66,144.38,141.28,141.5,89056700,,,,,,,,,,,,,,,,,,,-172015800.0,,,-0.009311769236154954,-0.026621723877003567,-0.03630048355240767,-0.048995164258025636,,,1,AAPL
2021-10-01,141.89999,142.92,139.11,142.64999,94639600,,,,,,35.13484707813872,,,,,,,,,2.957116463772082,,6.641325950705125,36.62464520875067,-77376200.0,,,0.00812713780918739,0.005214502149249567,-0.0290635039477265,-0.023346624994476595,,,1,AAPL
2021-10-04,141.75999,142.21001,138.27,139.14,98322000,,,,,,27.418290576736176,,,,,,,,,3.1085884586253028,,5.645162215990791,34.00775968254546,-175698200.0,13.21776363636674,,-0.02460560985668503,-0.025834908632640374,-0.042856160143083244,-0.02658458094305316,,,1,AAPL
2021-10-05,139.49001,142.24001,139.36,141.11,80861100,,,,,,35.9242654722316,,,,,,,,,3.1077061432104776,,5.165269190109474,30.518640718102716,-94837100.0,21.309779043883328,,0.01415840160988946,-0.002756183745582952,-0.005637375801564204,-0.016175069105143103,,,1,AAPL
2021-10-06,139.47,142.14999,138.37,142.0,83221100,,,,,,39.38060927404504,,,,,,,,,3.174745541970125,,4.55199863061119,30.00476752156792,-11616000.0,23.2287308615428,19.25209118059762,0.006307136276663572,-0.004556537298039731,-0.005811104109780918,-0.026397049955635965,,,0,AAPL
